Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Stability(15%),Rights(20%),Health(15%),Safety(10%),Climate(15%),Costs(15%),Popularity(10%),TotalQuality of life(100%)
1,Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04,28,9,20,19,58,63,63,35
2,Albania,35.5,8.47,22.83,29.32,25.82,30.19,58,43,64,84,55,57,26,55
3,Algeria,26.87,4.59,16.43,28.82,14.48,24.63,35,24,61,97,78,55,36,52
4,Argentina,34.69,7.71,22.04,28.17,33.32,30.72,41,44,79,78,77,41,38,56
5,Armenia,33.89,11.61,23.45,27.59,30.55,28.86,36,51,70,93,50,57,23,54
6,Australia,77.75,36.84,58.57,77.44,72.95,104.63,86,92,87,100,90,23,41,76
7,Austria,71.04,27.13,50.46,65.88,66.03,77.25,83,91,97,98,27,37,47,69
8,Azerbaijan,29.73,7.86,19.48,26.57,26.73,27.26,46,24,70,38,56,64,19,46
10,Bahrain,54.77,29.22,42.79,44.59,48.94,61.41,59,45,61,92,63,72,28,59
11,Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3,43,26,44,74,50,61,33,45
13,Belarus,30.89,9.81,21.01,27.24,31.64,31.78,37,28,82,81,22,40,37,44
14,Belgium,72.61,25.79,50.67,63.32,78.63,79.72,75,87,88,92,20,32,40,63
16,Bermuda,146.04,98.58,123.8,148.66,159.17,81.07,89,78,96,93,68,34,35,71
17,Bolivia,34.77,10.18,23.24,31.26,24.97,36.04,57,28,45,68,85,51,33,51
18,Bosnia And Herzegovina,36.12,6.82,22.39,31.14,25.34,44.1,47,38,69,86,49,70,26,54
20,Brazil,33.24,8.27,21.54,28.16,25.24,27.85,37,45,63,60,65,44,35,50
21,Bulgaria,38.38,9.07,24.64,34.02,32.44,45.96,68,51,81,85,50,62,40,62
22,Cambodia,49.11,15.68,33.44,50.61,22.9,13.32,56,19,28,68,52,66,35,44
23,Cameroon,39.48,6.91,24.22,40.41,26.33,15.37,40,19,9,27,60,51,34,34
24,Canada,70.22,34.33,53.4,70.01,67.86,87.98,85,92,78,97,33,37,62,69
25,Chile,43.9,13.51,29.66,38.87,43.26,33.27,66,79,68,87,47,54,36,63
26,China,41.77,16.53,29.93,46.01,28.37,59.99,69,37,67,90,56,38,57,57
27,Colombia,26.72,8.18,18.03,23.47,19.44,28.85,47,46,62,30,61,46,28,48
28,Costa Rica,47.01,14.7,31.87,45.54,41.69,39.88,69,69,64,73,44,46,32,58
29,Croatia,48.94,13.38,32.27,41.98,41.29,47.55,67,58,80,91,57,67,40,65
31,Cyprus,59.03,22.36,41.84,49.2,61.15,57.31,67,68,77,93,75,53,50,69
32,Czech Republic,48.24,18.4,34.25,42.76,36.72,66.47,78,73,90,93,22,49,59,66
33,Denmark,84.12,33.23,60.26,68.6,98.75,99.45,86,100,85,95,17,35,45,67
34,Dominican Republic,41.77,9.59,26.68,38.45,34.3,21.07,50,41,52,67,60,49,30,50
35,Ecuador,37.34,11.28,25.12,34.49,28.55,31.76,61,36,60,88,57,61,27,54
36,Egypt,29.52,5.82,18.41,27.42,23.42,21.54,36,26,44,83,68,59,52,50
37,El Salvador,44.37,13.19,29.75,44.32,35.47,21.17,59,39,49,21,66,50,14,45
38,Estonia,53.68,16.37,36.19,42.29,56.43,63.46,80,89,81,92,17,43,26,63
39,Ethiopia,47.49,16.88,33.14,36.68,18.03,10.15,27,31,16,31,81,63,43,42
41,Finland,73.2,25.95,51.05,65.16,77.65,91.02,85,100,87,93,17,46,32,68
42,France,74.13,25.33,51.26,73.64,71.84,85.41,72,83,91,93,41,29,71,68
43,Georgia,30.18,9.26,20.37,26.44,27.88,31.15,46,63,67,88,44,58,36,57
44,Germany,65.58,27.62,47.78,52.31,60.91,103.08,82,94,96,95,21,44,42,69
45,Ghana,36.2,19.31,28.28,37.53,30.06,16.82,48,51,26,95,56,42,38,49
46,Greece,56.22,12.68,35.81,44.73,52.19,39.73,60,61,89,88,69,44,43,65
47,Guatemala,43.49,15.6,30.42,41.92,32.59,26.35,52,28,44,71,61,45,26,46
49,Honduras,40.46,10.28,26.31,34.73,28.67,32.09,46,26,46,43,78,57,23,46
50,Hong Kong,80.71,74.57,77.83,84.72,58.58,65.74,77,85,100,97,49,61,41,74
51,Hungary,40.66,11.91,27.18,35.19,32.82,51.98,70,57,81,88,42,56,57,63
52,Iceland,94.86,41.93,70.05,90.22,99.42,77.06,82,92,87,97,7,36,33,63
53,India,24.43,5.3,15.47,26.43,17.56,49.72,48,46,35,79,67,45,59,52
54,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07,61,44,39,98,39,54,38,51
55,Iran,37.39,17.05,27.85,29.46,25.18,17.98,19,15,60,79,56,43,40,42
56,Iraq,34.47,10.63,23.29,30.46,28.31,40.92,16,12,42,29,37,75,33,34
57,Ireland,76.05,42.08,60.13,62.1,80.4,82.27,84,90,82,96,2,35,42,62
58,Israel,88.05,33.94,62.69,76.72,95.31,75.58,57,72,84,81,81,36,33,65
59,Italy,66.47,20.55,44.95,57.95,70.58,61.74,65,65,87,89,57,30,65,64
60,Ivory Coast,47.03,17.68,33.27,40.22,31.99,6.92,47,36,11,58,52,57,37,42
61,Jamaica,49.67,15.1,33.46,53.41,35.04,30.25,55,52,51,37,73,47,18,50
62,Japan,77.03,25.86,53.04,81.31,45.4,87.11,87,86,92,97,58,27,36,70
64,Jordan,49.19,9.23,30.46,40.81,41.16,31.34,50,48,60,77,52,63,27,54
65,Kazakhstan,28.68,9.44,19.66,25.35,27.24,32.23,54,36,69,82,40,60,33,52
66,Kenya,33.92,8.73,22.11,31.27,28.82,32.18,41,33,25,72,92,45,44,48
68,Kuwait,48.68,31.31,40.54,35.63,47.48,78.57,66,47,66,88,32,74,25,57
69,Latvia,48.45,11.77,31.26,38.37,42.1,51.65,74,74,77,87,19,55,24,60
70,Lebanon,69.62,24.81,48.61,66.83,54.25,35.12,10,25,65,76,71,41,46,45
72,Lithuania,45.65,15.01,31.29,36.18,46.64,58.74,77,75,82,88,20,43,23,60
73,Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84,93,99,85,100,25,46,42,71
74,Macao,66.81,43,55.65,67.9,51.32,69.27,90,71,100,93,48,61,44,73
75,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3,70,58,61,91,44,46,41,58
76,Maldives,57.66,30.2,44.78,56.6,34.72,28.59,64,39,72,87,62,59,18,57
77,Malta,67.84,29.72,49.97,59.59,72.42,44.18,86,72,91,92,75,41,44,72
79,Mexico,35.35,12.55,24.66,34.82,32.67,38.62,46,37,54,52,83,34,69,52
80,Moldova,30.35,8.7,20.2,24.96,27.1,33.43,51,41,67,84,40,62,15,51
81,Mongolia,34.74,11.22,23.72,36.14,22.8,24.34,59,44,60,72,44,70,31,54
82,Montenegro,38.95,12.87,26.72,31.76,33.22,34.19,50,52,68,85,53,61,24,56
83,Morocco,33.83,8.98,22.18,30.63,24.52,34.36,56,40,53,87,81,45,36,56
85,Nepal,28.29,3.96,16.89,26.45,20.41,22.96,53,35,34,89,56,57,28,49
86,Netherlands,75.66,36.06,57.1,65.49,76.35,87.99,84,98,83,96,20,40,37,67
87,New Zealand,74.52,34.44,55.73,72.04,70.05,83.63,91,100,81,95,35,26,37,68
88,Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63,45,18,45,73,61,41,25,42
89,Nigeria,30.49,35.99,33.07,33.65,20.92,9.34,18,24,12,23,53,57,41,32
90,North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44,56,48,70,87,56,64,36,59
91,Norway,100.9,34.68,69.86,97.31,105.49,83.11,89,99,90,99,16,42,37,69
92,Oman,49.42,16.77,34.11,46.51,43.24,84.24,68,51,64,92,43,68,31,59
93,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63,24,26,31,92,72,63,41,47
96,Paraguay,30.2,10.04,20.75,25.45,24.19,26.08,57,37,51,76,78,66,35,56
97,Peru,32.53,11.22,22.54,30.71,21.53,28.17,55,46,54,84,70,50,34,55
98,Philippines,37.06,9.59,24.18,37.84,20.61,21.47,52,39,45,67,49,46,34,47
99,Poland,38.95,14.45,27.46,32.42,33.52,59.95,69,67,79,93,26,58,69,64
100,Portugal,47.94,20.73,35.19,39.01,40.26,46.8,80,77,82,93,68,44,37,69
102,Qatar,62.81,48.2,55.96,54.97,63.01,93.67,77,60,62,94,60,70,38,66
103,Romania,35.24,10.17,23.49,31.38,30.02,48.12,64,57,73,88,37,68,25,59
104,Russia,35.26,13.09,24.87,29.86,34.56,37.41,47,26,74,75,33,62,42,49
105,Rwanda,31.62,15.9,24.25,27.71,27.99,26.82,68,48,27,72,60,58,37,53
106,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85,53,45,61,90,52,76,55,60
107,Senegal,50.25,22.97,37.46,42.17,46.22,23.45,64,47,33,91,52,56,36,53
108,Serbia,36.21,8.73,23.33,28.18,29.24,37.83,54,44,71,87,51,57,11,53
110,Singapore,83.98,66.43,75.75,77.08,61.17,91.34,83,89,79,100,45,55,39,71
111,Slovakia,44.68,16.11,31.29,39.74,36.08,54.7,73,67,77,89,34,42,41,60
112,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48,80,73,83,96,40,57,32,66
114,South Africa,42.09,16.6,30.14,34.78,41.33,78.36,47,54,31,43,95,49,40,52
115,South Korea,73.22,20.02,48.28,91.95,42.1,76.85,81,75,92,95,56,42,39,69
116,Spain,53.88,21.25,38.58,45.69,53.96,70.04,64,73,87,95,74,43,66,71
117,Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27,52,43,62,92,57,56,33,55
118,Suriname,51.78,9.71,32.06,45.92,79.61,13.44,44,43,50,73,35,62,38,48
119,Sweden,71.74,25.86,50.23,65.78,72.61,98.14,87,99,85,96,20,40,37,68
120,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44,91,99,93,99,34,44,46,74
123,Tanzania,32.81,12.36,23.23,30.04,24.86,15.97,51,34,21,57,88,56,46,49
124,Thailand,43.21,14.69,29.84,45.15,22.59,31.56,61,40,65,96,46,55,63,58
125,Trinidad And Tobago,54.88,15.97,36.64,53.96,53.74,38.47,68,50,61,39,51,48,30,51
126,Tunisia,27.87,5.32,17.3,27.36,15.96,27.83,38,49,60,82,79,47,39,55
127,Turkey,28.31,6.63,18.15,22.64,18.4,32.88,31,38,64,87,62,59,50,54
128,Uganda,33.5,9.19,22.1,31,24.85,11.41,48,30,14,62,71,57,37,44
129,Ukraine,30.71,10.57,21.27,26.3,25.75,37.22,42,36,71,82,33,60,38,50
130,United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17,82,65,65,93,62,67,28,67
131,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78,76,91,78,95,6,34,42,61
132,United States of America,70.13,42.07,56.98,70.37,70.07,106.34,63,81,71,85,66,37,67,67
133,Uruguay,52.07,13.93,34.19,44.01,49.39,30.07,67,79,75,82,77,47,30,67
136,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38,67,35,54,76,52,51,33,52
138,Zambia,33.04,9.26,21.9,31.53,22.46,40.33,34,32,18,60,68,58,47,44
139,Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07,29,14,13,74,91,37,36,39
