Rank,Country,TotalQuality of life(100%)
1,Australia,76
2,San Marino,74
3,Hong Kong,74
4,Switzerland,74
5,Macao,73
6,Malta,72
7,Luxembourg,71
8,Bermuda,71
9,Singapore,71
10,Spain,71
11,Japan,70
12,Austria,69
13,Portugal,69
14,Canada,69
15,Germany,69
16,Norway,69
17,South Korea,69
18,Cyprus,69
19,New Zealand,68
20,Sweden,68
21,France,68
22,Finland,68
23,Denmark,67
24,Netherlands,67
25,Uruguay,67
26,United States,67
27,United Arab Emirates,67
28,Slovenia,66
29,Czechia,66
30,Qatar,66
31,Croatia,65
32,Israel,65
33,Greece,65
34,Poland,64
35,Italy,64
36,Hungary,63
37,Chile,63
38,Iceland,63
39,Belgium,63
40,Estonia,63
41,Ireland,62
42,Bulgaria,62
43,United Kingdom,61
44,Slovakia,60
45,Saudi Arabia,60
46,Latvia,60
47,Lithuania,60
48,Bahrain,59
49,Oman,59
50,North Macedonia,59
51,Romania,59
52,Thailand,58
53,Malaysia,58
54,Costa Rica,58
55,Georgia,57
56,Maldives,57
57,Samoa,57
58,China,57
59,Kuwait,57
60,Paraguay,56
61,Argentina,56
62,Montenegro,56
63,Morocco,56
64,Peru,55
65,Tunisia,55
66,Sri Lanka,55
67,Albania,55
68,Ecuador,54
69,Mongolia,54
70,Bosnia and Herzegovina,54
71,Armenia,54
72,Jordan,54
73,Turkey,54
74,Serbia,53
75,Senegal,53
76,Rwanda,53
77,South Africa,52
78,India,52
79,Algeria,52
80,Mexico,52
81,Kazakhstan,52
82,Vietnam,52
83,Indonesia,51
84,Bolivia,51
85,Moldova,51
86,Trinidad and Tobago,51
87,Timor-Leste,51
88,Ukraine,50
89,Egypt,50
90,Brazil,50
91,Dominican Republic,50
92,Jamaica,50
93,Madagascar,50
94,Tanzania,49
95,Russia,49
96,Ghana,49
97,Nepal,49
98,Malawi,49
99,Kenya,48
100,Suriname,48
101,Laos,48
102,Colombia,48
103,Pakistan,47
104,Philippines,47
105,Gambia,46
106,Kyrgyzstan,46
107,Azerbaijan,46
108,Honduras,46
109,Guatemala,46
110,Bangladesh,45
111,Lebanon,45
112,El Salvador,45
113,Belarus,44
114,Cambodia,44
115,Uganda,44
116,Zambia,44
117,Lesotho,43
118,Gabon,43
119,Burma,42
120,Nicaragua,42
121,Togo,42
122,Tajikistan,42
123,Ivory Coast,42
124,Iran,42
125,Ethiopia,42
126,Burundi,41
127,Sierra Leone,41
128,Zimbabwe,39
129,Angola,36
130,Mozambique,36
131,Afghanistan,35
132,Iraq,34
133,Cameroon,34
134,Nigeria,32
135,Chad,32
136,Sudan,30
137,Congo (Dem. Republic),29
